Tanggal,P_Wilayah,Debit,Eto
1-Jan-91,19.4,55.3,3.324
2-Jan-91,9.7,144,3.309
3-Jan-91,6.9,106,2.823
4-Jan-91,1.6,74.2,2.992
5-Jan-91,5.2,68.7,3.272
6-Jan-91,0.5,57.5,3.211
7-Jan-91,16.7,49.8,3.01
8-Jan-91,5.1,77.7,3.426
9-Jan-91,14.1,78.5,3.32
10-Jan-91,3.8,100,3.087
11-Jan-91,1.6,73.5,3.352
12-Jan-91,7,70.7,4.195
13-Jan-91,2.8,83,3.671
14-Jan-91,7.5,64.1,3.707
15-Jan-91,10.5,67.4,3.637
16-Jan-91,5,77,3.772
17-Jan-91,19.8,64.1,4.058
18-Jan-91,9.9,114,3.397
19-Jan-91,0.4,101,2.836
20-Jan-91,2.2,110,2.836
21-Jan-91,8.9,96.7,3.307
22-Jan-91,1.5,89.3,3.137
23-Jan-91,4.9,53.6,3.26
24-Jan-91,1.9,58.7,3.281
25-Jan-91,3.6,52,3.626
26-Jan-91,1,45,2.993
27-Jan-91,3.9,40.1,3.119
28-Jan-91,2.5,41.5,3.557
29-Jan-91,5.7,38.8,2.996
30-Jan-91,6.6,38.3,3.085
31-Jan-91,1.4,35.8,3.144
1-Feb-91,3.2,90.1,3.164
2-Feb-91,1.1,98.4,3.142
3-Feb-91,2.1,115,2.929
4-Feb-91,10.3,199,2.914
5-Feb-91,17.4,83,3.222
6-Feb-91,20.8,79.2,3.136
7-Feb-91,0.9,65.4,3.187
8-Feb-91,1.5,71.4,3.376
9-Feb-91,3.7,65.4,3.902
10-Feb-91,5.6,62.9,3.903
11-Feb-91,0.7,61.7,2.979
12-Feb-91,3.1,75.6,3.402
13-Feb-91,1.1,62.9,3.639
14-Feb-91,0.1,60.5,3.613
15-Feb-91,8,56.4,3.269
16-Feb-91,2,58.7,4.095
17-Feb-91,8.7,52,3.64
18-Feb-91,4.3,50.3,3.471
19-Feb-91,2.5,47,2.949
20-Feb-91,3.3,47.6,3.559
21-Feb-91,1.5,43,3.812
22-Feb-91,1.7,41,3.145
23-Feb-91,4.6,31.8,2.839
24-Feb-91,3.6,19,2.699
25-Feb-91,2.1,16,3.046
26-Feb-91,3.5,18.4,2.899
27-Feb-91,1.8,34.6,3.303
28-Feb-91,7.2,89.3,2.98
1-Mar-91,30,111,3.104
2-Mar-91,2.4,124,3.096
3-Mar-91,7.5,103,3.016
4-Mar-91,16.2,100,3.22
5-Mar-91,12.8,132,3.449
6-Mar-91,0.7,129,3.345
7-Mar-91,10.3,128,2.866
8-Mar-91,15.7,145,3.645
9-Mar-91,4.5,165,3.429
10-Mar-91,6.6,155,3.96
11-Mar-91,16.5,176,3.889
12-Mar-91,5.4,158,2.925
13-Mar-91,4.6,139,3.659
14-Mar-91,5.3,159,2.685
15-Mar-91,1.4,170,3.317
16-Mar-91,4.1,145,2.739
17-Mar-91,22.8,177,2.878
18-Mar-91,16.7,171,3.261
19-Mar-91,20.9,198,2.829
20-Mar-91,3.7,215,4
21-Mar-91,14.2,182,3.174
22-Mar-91,9.2,179,3.889
23-Mar-91,11.1,163,3.466
24-Mar-91,5.9,365,3.571
25-Mar-91,0.5,253,3.886
26-Mar-91,2.9,149,3.484
27-Mar-91,1,144,3.337
28-Mar-91,2.7,93.3,3.88
29-Mar-91,2.2,90.9,4.073
30-Mar-91,9.4,88.5,3.734
31-Mar-91,19.3,102,3.643
1-Apr-91,3,194,2.945
2-Apr-91,4.3,170,3.41
3-Apr-91,1.8,161,3.593
4-Apr-91,1.5,162,3.881
5-Apr-91,2.2,159,3.886
6-Apr-91,8.1,151,4.016
7-Apr-91,13.1,148,3.956
8-Apr-91,1,162,3.32
9-Apr-91,9.4,161,3.56
10-Apr-91,5.4,157,3.517
11-Apr-91,2.2,138,3.787
12-Apr-91,0.7,132,3.331
13-Apr-91,17.1,105,3.304
14-Apr-91,0.8,80,3.566
15-Apr-91,0.4,69.3,3.457
16-Apr-91,0.4,82.2,3.544
17-Apr-91,0.8,70.7,3.183
18-Apr-91,1.2,75.6,2.974
19-Apr-91,17.5,132,3.09
20-Apr-91,12,163,2.665
21-Apr-91,15.2,130,3.125
22-Apr-91,22.9,177,3.262
23-Apr-91,2.2,152,2.502
24-Apr-91,0.7,49.8,3.379
25-Apr-91,14.8,95.9,2.961
26-Apr-91,0.5,99.3,3.094
27-Apr-91,0.3,91.7,2.592
28-Apr-91,0.2,81.5,2.501
29-Apr-91,0.5,77.7,3.11
30-Apr-91,9.2,70.7,2.166
1-May-91,12.6,106,2.864
2-May-91,4.9,81.5,3.533
3-May-91,0.5,68.7,3.205
4-May-91,1.4,68.7,2.981
5-May-91,3.3,61.7,3.352
6-May-91,0.5,71.4,3.014
7-May-91,0.6,61.1,2.727
8-May-91,0.5,54.2,3.2
9-May-91,5.8,54.2,3.27
10-May-91,2.3,71.4,3.196
11-May-91,6,95.9,2.688
12-May-91,0.5,74.2,3.055
13-May-91,0.1,58.1,2.605
14-May-91,2,52.5,2.736
15-May-91,0.5,44,3.157
16-May-91,0.8,34.6,3.013
17-May-91,0.2,31,3.311
18-May-91,0.1,29,3.174
19-May-91,0.1,27.2,3.177
20-May-91,0,24.8,2.54
21-May-91,0,23,2.322
22-May-91,0.1,21.4,2.339
23-May-91,0,19.6,2.273
24-May-91,0.1,19.3,2.294
25-May-91,0,17.8,2.733
26-May-91,0,16,2.693
27-May-91,0,15.4,2.939
28-May-91,0,14.2,2.282
29-May-91,0.1,13.9,2.45
30-May-91,0,13.9,2.19
31-May-91,0,12.4,2.952
1-Jun-91,0,100,2.886
2-Jun-91,0,108,3.205
3-Jun-91,0,91.7,3.268
4-Jun-91,0.1,116,3.314
5-Jun-91,0,72.8,2.923
6-Jun-91,0,81.5,2.829
7-Jun-91,0,100,2.493
8-Jun-91,0,58.1,2.549
9-Jun-91,0,58.1,2.91
10-Jun-91,0,45,2.418
11-Jun-91,0,39.2,2.189
12-Jun-91,0,36.6,2.634
13-Jun-91,0.1,31.8,2.484
14-Jun-91,0,30.2,2.345
15-Jun-91,1.7,27.6,2.163
16-Jun-91,0.2,26.9,2.681
17-Jun-91,1.8,24.1,2.466
18-Jun-91,0.3,21.7,2.866
19-Jun-91,0.1,18.4,2.708
20-Jun-91,0,20.2,2.421
21-Jun-91,0.1,20.5,2.555
22-Jun-91,0,19.3,2.525
23-Jun-91,0.2,20.2,2.874
24-Jun-91,0.1,19.6,2.82
25-Jun-91,0,19,2.392
26-Jun-91,0,17.8,2.692
27-Jun-91,0,16.6,2.66
28-Jun-91,0,15.7,2.282
29-Jun-91,0.1,14.8,2.338
30-Jun-91,0,15.1,2.379
1-Jul-91,0.3,16.6,2.407
2-Jul-91,0.1,16.6,3.284
3-Jul-91,0,18.1,3.353
4-Jul-91,0,19,3.009
5-Jul-91,0,33,3.385
6-Jul-91,0.1,26.2,2.937
7-Jul-91,0.1,22.7,3.276
8-Jul-91,0.8,20.8,2.14
9-Jul-91,0,19,2.704
10-Jul-91,0,19.6,2.757
11-Jul-91,0.4,21.1,3.16
12-Jul-91,0,18.7,3.138
13-Jul-91,0.1,64.8,3.309
14-Jul-91,0,61.7,3.231
15-Jul-91,0.1,62.3,2.836
16-Jul-91,0.1,61.7,2.719
17-Jul-91,0.1,58.1,2.873
18-Jul-91,0.3,43.5,3.103
19-Jul-91,0,42,3.2
20-Jul-91,0,39.2,3.291
21-Jul-91,0,40.6,2.776
22-Jul-91,0,36.2,2.893
23-Jul-91,0,31,3.268
24-Jul-91,0,20.5,3.136
25-Jul-91,0,17.8,3.598
26-Jul-91,0.1,15.1,2.642
27-Jul-91,0,13.3,2.36
28-Jul-91,0.2,12.1,2.746
29-Jul-91,0,9.75,2.868
30-Jul-91,0,9.25,2.889
31-Jul-91,0,8.5,3.104
1-Aug-91,0,6.75,2.689
2-Aug-91,0,6.6,3.044
3-Aug-91,0,6.45,3.188
4-Aug-91,0,6.3,3.62
5-Aug-91,0,6,3.595
6-Aug-91,0,6.15,3.335
7-Aug-91,0,6.15,2.901
8-Aug-91,0,6,3.335
9-Aug-91,0,6.15,3.454
10-Aug-91,0,5.7,3.55
